date time,flight time,phase_no,take off switch,altitude,static pressure,ground speed,ind. air speed,oat,n1 1,n2 1,nr,torque 1,tot 1,oil pressure 1,oil temp. 1,fuel flow,fuel vol.,power
1801-08-08 17:58:33,0.0,-1,1,51.0,1011.8,0.0,0,30,0.0,0,0,1.0,59,0.0,39,58.1,328,21.45
1801-08-08 17:58:35,2.0,1,1,51.0,1011.7,0.0,0,30,1.3,0,0,1.0,59,0.0,39,38.4,323,
1801-08-08 17:58:37,4.0,1,1,51.0,1011.7,0.0,0,30,6.8,0,0,1.0,65,0.0,39,32.1,315,
1801-08-08 17:58:39,6.0,1,1,51.0,1011.7,0.0,0,30,11.6,0,0,1.0,165,0.0,39,18.9,315,
1801-08-08 17:58:41,8.0,1,1,51.0,1011.6,0.0,0,30,15.6,0,0,1.0,373,0.0,40,20.1,315,
1801-08-08 17:58:43,10.0,1,1,51.0,1011.7,0.0,0,30,19.7,0,0,1.0,584,0.2,40,15.9,319,16.29
1801-08-08 17:58:45,12.0,1,1,50.0,1011.7,0.0,0,30,22.9,0,0,1.0,622,0.4,41,18.1,321,
1801-08-08 17:58:47,14.0,1,1,50.0,1011.7,0.0,0,30,26.5,6,0,1.0,641,0.5,42,21.8,323,
1801-08-08 17:58:49,16.0,1,1,51.0,1011.7,0.0,0,30,30.0,14,0,1.0,657,0.6,43,23.1,325,
1801-08-08 17:58:51,18.0,1,1,51.0,1011.7,0.0,0,30,33.4,21,6,1.0,650,0.8,44,25.0,325,
1801-08-08 17:58:53,20.0,1,1,52.0,1011.7,0.0,0,30,37.2,30,24,1.0,644,0.9,45,28.5,326,17.64
1801-08-08 17:58:55,22.0,1,1,52.0,1011.7,0.0,0,30,41.2,42,35,1.0,637,1.1,45,31.9,326,
1801-08-08 17:58:57,24.0,1,1,53.0,1011.7,0.0,0,30,46.4,58,50,1.0,629,1.3,46,37.2,327,
1801-08-08 17:58:59,26.0,1,1,53.0,1011.8,0.0,0,30,52.1,78,69,1.0,633,1.6,47,42.9,327,
1801-08-08 17:59:01,28.0,1,1,54.0,1011.7,0.0,0,30,58.2,99,90,6.1,627,1.9,47,47.6,327,
1801-08-08 17:59:03,30.0,1,1,56.0,1011.7,0.0,0,30,63.6,125,116,21.5,592,2.3,48,49.5,327,25.11
1801-08-08 17:59:05,32.0,1,1,57.0,1011.8,0.0,0,30,66.2,153,145,22.3,544,2.5,48,52.6,327,
1801-08-08 17:59:07,34.0,2,1,57.0,1011.7,0.0,0,30,67.8,182,175,20.8,517,2.7,49,51.3,327,
1801-08-08 17:59:09,36.0,2,1,57.0,1011.7,0.0,0,30,67.9,203,199,18.7,506,2.7,50,51.7,327,
1801-08-08 17:59:11,38.0,2,1,57.0,1011.7,0.0,0,30,67.9,216,213,17.2,505,2.7,50,51.7,327,
1801-08-08 17:59:13,40.0,2,1,57.0,1011.7,0.0,0,30,67.9,227,224,16.1,506,2.7,51,51.7,327,25.03
1801-08-08 17:59:15,42.0,2,1,57.0,1011.7,0.0,0,30,67.9,236,234,15.6,509,2.7,51,51.7,327,
1801-08-08 17:59:17,44.0,2,1,58.0,1011.7,0.0,0,30,67.9,244,242,15.1,510,2.7,52,51.7,327,
