name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
Ford Maverick,18,6,250,88,3021,16.5,73
Ford Maverick,21,6,200,,2875,17,74
Ford Maverick,21,6,200,85,2587,16,70
Ford Maverick,24,6,200,81,3012,17.6,76
Ford Mustang Cobra,23.6,4,140,,2905,14.3,80
Ford Mustang GL,27,4,140,86,2790,15.6,82
Ford Mustang II 2+2,25.5,4,140,89,2755,15.8,77
Ford Mustang II,13,8,302,129,3169,12,75
Ford Mustang,18,6,250,88,3139,14.5,71
Ford Pinto (Wagon),22,4,122,86,2395,16,72
Ford Pinto Runabout,21,4,122,86,2226,16.5,72
Ford Pinto,18,6,171,97,2984,14.5,75
Ford Pinto,19,4,122,85,2310,18.5,73
Ford Pinto,23,4,140,83,2639,17,75
Ford Pinto,25,4,98,,2046,19,71
Ford Pinto,26,4,122,80,2451,16.5,74
Ford Pinto,26.5,4,140,72,2565,13.6,76
Ford Ranger,28,4,120,79,2625,18.6,82
Ford Thunderbird,16,8,351,149,4335,14.5,77
Ford Torino 500,19,6,250,88,3302,15.5,71
Ford Torino,17,8,302,140,3449,10.5,70
Hi 1200D,9,8,304,193,4732,18.5,70
Honda Accord CVCC,31.5,4,98,68,2045,18.5,77
Honda Accord LX,29.5,4,98,68,2135,16.6,78
Honda Accord,32.4,4,107,72,2290,17,80
Honda Accord,36,4,107,75,2205,14.5,82
Honda Civic (Auto),32,4,91,67,1965,15.7,82
Honda Civic 1300,35.1,4,81,60,1760,16.1,81
Honda Civic 1500 GL,44.6,4,91,67,1850,13.8,80
Honda Civic CVCC,33,4,91,53,1795,17.5,75
Honda Civic CVCC,36.1,4,91,60,1800,16.4,78
Honda Civic,24,4,120,97,2489,15,74
Honda Civic,33,4,91,53,1795,17.4,76
Honda Civic,38,4,91,67,1965,15,82
Honda Prelude,33.7,4,107,75,2210,14.4,81
Maxda GLC Deluxe,34.1,4,86,65,1975,15.2,79
Maxda RX-3,18,3,70,90,2124,13.5,73
Mazda 626,31.3,4,120,75,2542,17.5,80
Mazda 626,31.6,4,120,74,2635,18.3,81
Mazda GLC 4,34.1,4,91,68,1985,16,81
Mazda GLC Custom L,37,4,91,68,2025,18.2,82
Mazda GLC Custom,31,4,91,68,1970,17.6,82
Mazda GLC Deluxe,32.8,4,78,52,1985,19.4,78
Mazda GLC,46.6,4,86,65,2110,17.9,80
Mazda RX-2 Coupe,19,3,70,97,2330,13.5,72
Mazda RX-4,21.5,3,80,110,2720,13.5,77
Mazda RX-7 Gs,23.7,3,70,100,2420,12.5,80
Mercedes-Benz 240D,30,4,146,67,3250,21.8,80
Mercedes-Benz 280S,16.5,6,168,120,3820,16.7,76
Mercedes-Benz 300D,25.4,5,183,77,3530,20.1,79
Mercury Capri 2000,23,4,122,86,2220,14,71
Mercury Capri V6,21,6,155,107,2472,14,73
Mercury Cougar Brougham,15,8,302,130,4295,14.9,77
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79
Mercury Lynx L,36,4,98,70,2125,17.3,82
Mercury Marquis Brougham,12,8,429,198,4952,11.5,73
Mercury Marquis,11,8,429,208,4633,11,72
Mercury Monarch Ghia,20.2,8,302,139,3570,12.8,78
Mercury Monarch,15,6,250,72,3432,21,75
Mercury Zephyr 6,19.8,6,200,85,2990,18.2,79
Mercury Zephyr,20.8,6,200,85,3070,16.7,78
Nissan Stanza XE,36,4,120,88,2160,14.5,82
Oldsmobile Cutlass Ciera (Diesel),38,6,262,85,3015,17,82
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,15.5,78
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79
Oldsmobile Cutlass Supreme,17,8,260,110,4060,19,77
Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72
